iter	Passed	Remaining
0	143	143482
1	144	72322
2	146	48526
3	147	36614
4	148	29463
5	148	24672
6	149	21253
7	150	18688
8	151	16697
9	152	15107
10	153	13814
11	154	12748
12	155	11832
13	156	11040
14	157	10360
15	158	9769
16	159	9237
17	160	8766
18	161	8345
19	162	7964
20	163	7623
21	164	7312
22	165	7030
23	166	6765
24	166	6507
25	168	6301
26	169	6103
27	170	5914
28	171	5737
29	172	5572
30	173	5418
31	174	5277
32	175	5152
33	176	5025
34	177	4904
35	178	4790
36	179	4682
37	180	4578
38	182	4485
39	183	4395
40	184	4309
41	185	4227
42	186	4147
43	187	4072
44	188	4000
45	189	3933
46	191	3873
47	192	3808
48	193	3746
49	194	3686
50	195	3628
51	196	3576
52	197	3523
53	198	3471
54	198	3413
55	199	3369
56	201	3326
57	202	3286
58	203	3244
59	204	3209
60	206	3177
61	207	3141
62	208	3107
63	210	3072
64	211	3036
65	212	3005
66	213	2973
67	214	2942
68	215	2914
69	217	2883
70	217	2850
71	218	2822
72	220	2794
73	221	2767
74	222	2741
75	223	2717
76	224	2696
77	226	2675
78	227	2650
79	228	2626
80	229	2607
81	231	2586
82	232	2566
83	232	2537
84	233	2517
85	234	2497
86	236	2476
87	237	2460
88	238	2442
89	239	2423
90	240	2406
91	241	2387
92	243	2370
93	244	2352
94	245	2335
95	246	2318
96	247	2301
97	248	2285
98	249	2271
99	251	2259
100	252	2244
101	253	2230
102	254	2218
103	256	2206
104	257	2194
105	258	2180
106	259	2165
107	260	2152
108	261	2139
109	262	2126
110	264	2114
111	265	2103
112	266	2090
113	267	2078
114	268	2065
115	269	2053
116	270	2042
117	271	2031
118	272	2020
119	274	2009
120	275	1999
121	276	1991
122	277	1981
123	279	1974
124	280	1965
125	281	1955
126	283	1945
127	284	1935
128	285	1926
129	286	1916
130	287	1907
131	288	1898
132	290	1890
133	291	1881
134	292	1872
135	293	1863
136	294	1853
137	295	1844
138	296	1835
139	297	1827
140	298	1819
141	299	1811
142	300	1803
143	302	1796
144	303	1789
145	304	1782
146	305	1775
147	307	1768
148	308	1762
149	309	1754
150	310	1746
151	311	1740
152	312	1732
153	314	1726
154	315	1721
155	316	1714
156	317	1707
157	319	1701
158	320	1695
159	321	1690
160	323	1685
161	324	1679
162	325	1673
163	327	1669
164	328	1663
165	330	1659
166	331	1655
167	333	1650
168	334	1645
169	336	1640
170	337	1635
171	344	1659
172	346	1655
173	347	1649
174	348	1644
175	350	1639
176	351	1635
177	353	1630
178	354	1628
179	356	1623
180	357	1617
181	358	1612
182	359	1606
183	361	1601
184	362	1595
185	363	1589
186	364	1585
187	365	1580
188	367	1576
189	368	1571
190	369	1566
191	371	1561
192	372	1556
193	373	1550
194	374	1546
195	375	1541
196	376	1536
197	378	1533
198	379	1529
199	381	1525
200	382	1520
201	383	1514
202	384	1509
203	385	1504
204	386	1498
205	387	1493
206	388	1488
207	389	1483
208	390	1478
209	391	1473
210	392	1468
211	394	1464
212	395	1459
213	396	1454
214	397	1449
215	398	1445
216	399	1440
217	400	1435
218	401	1431
219	402	1426
220	403	1422
221	404	1418
222	406	1414
223	407	1411
224	408	1407
225	409	1402
226	410	1398
227	411	1394
228	412	1389
229	413	1385
230	414	1381
231	416	1377
232	417	1374
233	418	1370
234	420	1367
235	421	1363
236	422	1359
237	423	1355
238	424	1351
239	425	1347
240	426	1343
241	427	1339
242	428	1335
243	430	1332
244	431	1329
245	432	1326
246	434	1323
247	435	1321
248	436	1317
249	437	1313
250	439	1310
251	440	1306
252	441	1303
253	442	1299
254	443	1295
255	444	1292
256	445	1288
257	446	1284
258	447	1281
259	448	1277
260	449	1273
261	450	1270
262	452	1266
263	453	1263
264	454	1260
265	455	1257
266	457	1254
267	458	1251
268	459	1247
269	460	1245
270	461	1241
271	462	1238
272	463	1234
273	464	1231
274	465	1228
275	466	1224
276	467	1221
277	469	1218
278	470	1214
279	471	1211
280	472	1207
281	473	1204
282	474	1201
283	475	1198
284	476	1195
285	477	1191
286	478	1188
287	479	1185
288	480	1182
289	482	1180
290	483	1177
291	484	1174
292	485	1170
293	486	1168
294	487	1165
295	488	1162
296	489	1159
297	491	1156
298	492	1153
299	493	1150
300	494	1147
301	495	1144
302	496	1141
303	497	1138
304	498	1135
305	499	1132
306	500	1129
307	501	1126
308	502	1123
309	503	1120
310	504	1117
311	505	1114
312	506	1111
313	507	1109
314	508	1106
315	509	1103
316	510	1100
317	511	1097
318	512	1095
319	514	1092
320	515	1089
321	516	1087
322	517	1084
323	519	1083
324	520	1081
325	521	1078
326	522	1075
327	523	1073
328	524	1070
329	526	1068
330	527	1065
331	528	1063
332	529	1060
333	530	1058
334	531	1055
335	532	1052
336	533	1050
337	534	1047
338	536	1045
339	537	1042
340	538	1039
341	539	1037
342	540	1035
343	541	1032
344	542	1030
345	544	1028
346	545	1026
347	546	1023
348	547	1020
349	548	1017
350	549	1015
351	550	1012
352	551	1009
353	552	1008
354	553	1005
355	554	1003
356	555	1001
357	556	998
358	557	995
359	558	993
360	559	990
361	560	988
362	561	985
363	562	983
364	563	980
365	564	978
366	565	976
367	567	974
368	568	971
369	569	969
370	570	967
371	571	964
372	572	962
373	573	959
374	574	957
375	575	954
376	576	952
377	577	949
378	578	947
379	579	945
380	580	943
381	581	940
382	582	938
383	583	936
384	584	934
385	585	931
386	586	929
387	587	927
388	588	924
389	589	922
390	590	920
391	592	918
392	593	916
393	594	914
394	595	912
395	596	910
396	597	908
397	599	906
398	600	904
399	601	901
400	602	899
401	603	897
402	604	895
403	605	893
404	606	891
405	607	889
406	608	887
407	610	885
408	611	882
409	612	880
410	613	878
411	614	876
412	615	874
413	616	872
414	617	870
415	618	868
416	620	867
417	621	865
418	622	862
419	623	860
420	624	858
421	625	856
422	626	854
423	627	852
424	628	849
425	629	847
426	630	845
427	631	843
428	632	841
